"Date","Price","Open","High","Low","Vol.","Change %"
"05/12/2020","30,001.6","29,807.1","30,079.5","29,534.7","2.07M","0.13%"
"05/13/2020","30,818.8","29,807.1","30,974.5","29,418.0","3.43M","2.72%"
"05/14/2020","30,896.6","30,351.9","31,519.2","30,351.9","2.51M","0.25%"
"05/15/2020","30,040.6","30,974.5","31,207.9","29,884.9","2.40M","-2.77%"
"05/18/2020","30,274.0","29,923.8","30,274.0","29,573.6","2.34M","0.78%"
"05/19/2020","30,429.7","31,052.3","31,052.3","30,274.0","2.12M","0.51%"
"05/20/2020","30,468.6","30,351.9","30,585.3","29,962.7","1.13M","0.13%"
"05/21/2020","30,896.6","30,741.0","31,246.9","30,702.1","3.11M","1.40%"
"05/22/2020","30,585.3","30,896.6","31,130.1","30,585.3","1.43M","-1.01%"
"05/25/2020","30,857.7","30,585.3","30,974.5","30,351.9","1.12M","0.89%"
"05/26/2020","32,686.6","30,935.6","32,686.6","30,935.6","3.72M","5.93%"
"05/27/2020","30,974.5","33,270.3","33,270.3","30,974.5","2.88M","-5.24%"
"05/28/2020","31,674.9","31,130.1","31,869.5","30,974.5","2.41M","2.26%"
"05/29/2020","31,207.9","31,441.4","31,519.2","30,974.5","2.10M","-1.47%"
"06/01/2020","32,258.6","31,363.6","32,336.4","31,324.7","1.39M","3.37%"
"06/02/2020","31,558.2","32,297.5","32,608.8","31,519.2","1.88M","-2.17%"
"06/03/2020","31,908.4","31,830.5","32,064.0","31,519.2","1.13M","1.11%"
"06/04/2020","32,531.0","32,064.0","32,920.1","31,986.2","2.53M","1.95%"
"06/05/2020","32,764.4","32,531.0","32,842.3","32,102.9","1.53M","0.72%"
"06/08/2020","34,243.1","33,231.4","34,243.1","33,075.7","3.13M","4.51%"
"06/09/2020","33,737.3","34,321.0","34,321.0","33,698.4","1.41M","-1.48%"
"06/10/2020","33,854.0","33,542.7","34,321.0","33,075.7","1.63M","0.35%"
"06/11/2020","31,519.2","33,854.0","34,009.7","31,519.2","3.00M","-6.90%"
"06/12/2020","33,075.7","30,741.0","33,075.7","30,741.0","2.41M","4.94%"
"06/15/2020","31,052.3","32,920.1","32,920.1","31,052.3","1.89M","-6.12%"
"06/16/2020","31,674.9","32,297.5","32,375.3","31,519.2","1.21M","2.01%"
"06/17/2020","31,363.6","31,674.9","31,986.2","31,013.4","1.03M","-0.98%"
"06/18/2020","31,519.2","31,363.6","31,597.1","31,130.1","791.70K","0.50%"
"06/19/2020","32,258.6","32,064.0","32,258.6","31,674.9","906.10K","2.35%"
"06/22/2020","32,141.8","32,297.5","32,569.9","31,752.7","783.40K","-0.36%"
"06/23/2020","31,674.9","31,947.3","32,180.8","31,519.2","1.40M","-1.45%"
"06/24/2020","31,363.6","31,674.9","32,064.0","31,285.8","870.40K","-0.98%"
"06/25/2020","31,130.1","31,130.1","31,324.7","30,974.5","995.90K","-0.74%"
"06/26/2020","31,052.3","31,830.5","31,830.5","30,896.6","902.20K","-0.25%"
"06/29/2020","29,962.7","30,585.3","30,741.0","29,884.9","1.68M","-3.51%"
"06/30/2020","29,495.8","30,351.9","30,390.8","29,418.0","1.08M","-1.56%"
"07/01/2020","30,507.5","29,495.8","30,663.2","29,495.8","967.60K","3.43%"
"07/02/2020","30,351.9","30,702.1","30,702.1","30,118.4","630.70K","-0.51%"
"07/03/2020","30,429.7","30,546.4","30,585.3","30,196.2","688.40K","0.26%"
"07/06/2020","31,207.9","30,663.2","31,285.8","30,429.7","952.90K","2.56%"
"07/07/2020","31,597.1","31,441.4","31,791.6","31,324.7","1.38M","1.25%"
"07/08/2020","31,558.2","31,519.2","31,674.9","31,130.1","966.70K","-0.12%"
"07/09/2020","32,375.3","31,558.2","32,608.8","31,558.2","1.93M","2.59%"
"07/10/2020","32,297.5","32,064.0","32,414.2","31,713.8","1.30M","-0.24%"
"07/13/2020","32,141.8","32,414.2","32,569.9","31,908.4","1.31M","-0.48%"
"07/14/2020","32,102.9","31,791.6","32,141.8","31,674.9","1.25M","-0.12%"
"07/15/2020","32,180.8","32,453.1","32,453.1","32,141.8","868.40K","0.24%"
"07/16/2020","32,180.8","32,180.8","32,219.7","31,908.4","595.30K","0.00%"
"07/17/2020","32,375.3","32,219.7","32,569.9","32,219.7","1.69M","0.60%"
"07/20/2020","31,752.7","32,453.1","32,492.1","31,752.7","1.05M","-1.92%"
"07/21/2020","31,752.7","31,908.4","31,908.4","31,402.5","471.10K","0.00%"
"07/22/2020","31,130.1","31,908.4","31,908.4","30,741.0","944.00K","-1.96%"
"07/23/2020","31,013.4","31,130.1","31,480.3","30,857.7","961.30K","-0.37%"
"07/24/2020","29,729.3","31,013.4","31,013.4","29,379.0","2.27M","-4.14%"
"07/27/2020","27,666.9","28,017.1","29,418.0","27,666.9","1.94M","-6.94%"
"07/28/2020","29,456.9","28,017.1","29,456.9","28,017.1","1.50M","6.47%"
"07/29/2020","28,756.4","28,639.7","28,951.0","27,861.5","912.70K","-2.38%"
