Date,Price,Open,High,Low,Vol.,Change %
12/7/2020,"33,464.90","32,686.60","33,620.50","32,569.90",5.18M,3.24%
12/8/2020,"33,231.40","33,698.40","33,698.40","33,036.80",2.71M,-0.70%
12/9/2020,"34,087.50","33,387.10","34,243.10","33,270.30",4.63M,2.58%
12/10/2020,"34,204.20","34,087.50","34,865.70","34,009.70",4.82M,0.34%
12/11/2020,"35,644.00","34,165.30","35,644.00","33,931.80",5.74M,4.21%
12/14/2020,"36,188.80","35,916.40","36,227.70","35,682.90",3.69M,1.53%
12/15/2020,"35,877.50","35,916.40","36,577.90","35,682.90",4.30M,-0.86%
12/16/2020,"36,889.20","35,877.50","36,928.10","35,877.50",3.89M,2.82%
12/17/2020,"36,110.90","36,422.20","37,044.80","36,110.90",4.90M,-2.11%
12/18/2020,"36,577.90","36,344.40","36,967.00","36,110.90",3.06M,1.29%
12/21/2020,"36,928.10","37,356.10","37,356.10","36,188.80",3.11M,0.96%
12/22/2020,"36,461.10","36,928.10","36,928.10","36,266.60",3.44M,-1.26%
12/23/2020,"36,266.60","36,577.90","36,967.00","36,110.90",2.65M,-0.53%
12/24/2020,"35,410.50","36,266.60","36,422.20","34,165.30",3.94M,-2.36%
12/25/2020,"36,266.60","35,410.50","36,344.40","35,021.40",1.97M,2.42%
12/28/2020,"36,928.10","36,539.00","37,356.10","36,422.20",3.97M,1.82%
12/29/2020,"37,628.50","36,811.40","37,862.00","36,811.40",3.81M,1.90%
12/30/2020,"37,395.10","37,667.40","37,978.70","37,356.10",1.81M,-0.62%
12/31/2020,"37,909.50","37,395.00","37,909.50","37,197.20",1.69M,1.38%
1/4/2021,"38,186.50","37,790.80","38,344.80","37,790.80",2.51M,0.73%
1/5/2021,"37,909.50","37,909.50","38,067.80","37,711.60",2.71M,-0.73%
1/6/2021,"38,621.80","38,226.00","40,046.30","37,632.50",4.62M,1.88%
1/7/2021,"38,700.90","38,621.80","39,492.30","38,384.30",2.11M,0.20%
1/8/2021,"38,384.30","39,017.50","39,017.50","38,146.90",2.56M,-0.82%
1/11/2021,"38,186.50","38,384.30","38,463.50","37,909.50",3.47M,-0.52%
1/12/2021,"38,582.20","38,186.50","38,780.00","37,909.50",2.75M,1.04%
1/13/2021,"38,344.80","38,621.80","38,938.30","38,305.20",2.08M,-0.62%
1/14/2021,"38,661.30","38,384.30","38,780.00","37,988.60",2.40M,0.83%
1/15/2021,"38,661.30","39,017.50","39,175.80","38,661.30",3.02M,0.00%
1/18/2021,"38,503.00","38,700.90","38,780.00","38,463.50",2.12M,-0.41%
1/19/2021,"35,812.20","38,463.50","38,463.50","35,812.20",3.40M,-6.99%
1/20/2021,"36,010.00","35,812.20","36,801.50","33,635.80",2.90M,0.55%
1/21/2021,"36,801.50","36,089.20","36,801.50","35,772.60",1.69M,2.20%
1/22/2021,"35,812.20","36,801.50","36,841.00","35,693.50",2.78M,-2.69%
1/25/2021,"35,297.80","35,614.30","35,772.60","35,139.50",1.73M,-1.44%
1/26/2021,"33,675.30","35,099.90","35,099.90","33,081.70",2.31M,-4.60%
1/27/2021,"32,686.00","33,675.30","34,348.00","32,132.00",2.64M,-2.94%
1/28/2021,"30,430.50","30,865.70","31,657.20","30,430.50",3.39M,-6.90%
1/29/2021,"31,578.00","28,887.20","32,329.90","28,887.20",2.53M,3.77%
2/1/2021,"30,944.90","31,578.00","32,448.60","30,588.70",1.94M,-2.00%
2/2/2021,"31,142.70","30,786.60","31,617.60","30,509.60",3.14M,0.64%
2/3/2021,"32,725.60","31,736.30","32,844.30","31,419.70",2.33M,5.08%
2/4/2021,"32,844.30","32,765.20","32,923.50","32,369.50",1.73M,0.36%
2/5/2021,"33,081.70","32,844.30","33,319.20","32,686.00",1.61M,0.72%
2/8/2021,"31,736.30","33,081.70","33,240.00","30,905.30",2.36M,-4.07%
2/9/2021,"32,290.30","32,052.90","32,606.90","31,419.70",1.82M,1.75%
2/17/2021,"33,319.20","32,329.90","33,319.20","32,329.90",1.81M,3.19%
2/18/2021,"34,348.00","33,398.30","34,427.20","33,002.60",2.94M,3.09%
